ts,cpu_total_pct,mem_used_bytes,mem_total_bytes,proc_rss_bytes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
1760284423.1805835,0.0,7080353792,270310711296,658096128,57071811584,6976821711872,8506555623536,1017624638708
1760284425.474043,0.8,7073959936,270310711296,698658816,57094000640,6976821728256,8506555925277,1017657581922
1760284425.9816918,1.0,7080681472,270310711296,721727488,57098701824,6976821728256,8506555975353,1017660273406
1760284426.4845965,1.1,7085338624,270310711296,735342592,57105623040,6976821728256,8506556031701,1017666629553
1760284426.9875324,0.8,7094669312,270310711296,738676736,57106448384,6976821728256,8506556087257,1017667392000
1760284427.4904478,1.1,7098187776,270310711296,742035456,57106448384,6976821728256,8506556141095,1017667443782
1760284429.964014,1.0,7181434880,270310711296,890032128,57160089600,6976821728256,8506556576487,1017731337944
1760284430.4693081,0.8,7194472448,270310711296,917819392,57162516480,6976821912576,8506556633185,1017735628068
1760284431.6566525,0.6,7266467840,270310711296,1010356224,57162516480,6976821986304,8506556868793,1017775202012
1760284432.1618876,0.7,7276601344,270310711296,1012977664,57162516480,6976821986304,8506556935525,1017776465279
1760284432.6651604,0.3,7279955968,270310711296,1015599104,57162516480,6976821986304,8506557010329,1017778602127
1760284433.1687117,0.6,7272927232,270310711296,1018744832,57162516480,6976821986304,8506557068589,1017780346704
1760284433.676809,0.4,7273684992,270310711296,1019793408,57162785792,6976821986304,8506557214337,1017781084564
1760284434.181005,0.7,7292133376,270310711296,1021366272,57162796032,6976821986304,8506557596834,1017781479780
1760284434.6876407,0.5,7283716096,270310711296,1021890560,57162796032,6976821986304,8506557899368,1017781725854
1760284435.2031934,0.8,7317004288,270310711296,1051275264,57162796032,6976821986304,8506558039488,1017781813804
1760284435.7067945,1.7,7431405568,270310711296,1118474240,57162796032,6976821986304,8506558039840,1017781814229
1760284436.2130396,1.6,7530000384,270310711296,1257345024,57162796032,6976821986304,8506558040252,1017781814977
1760284436.716133,1.7,7655260160,270310711296,1387888640,57162796032,6976822047744,8506558040604,1017781815402
1760284437.219131,1.6,7778086912,270310711296,1508478976,57162796032,6976822047744,8506558041501,1017781816534
1760284437.7592652,1.7,7895248896,270310711296,1609142272,57162796032,6976822047744,8506558041857,1017781817175
1760284438.2627053,1.6,8002678784,270310711296,1680142336,57162796032,6976822047744,8506558042271,1017781817607
1760284438.7657602,1.7,8132644864,270310711296,1823592448,57162796032,6976822047744,8506558042717,1017781817970
1760284439.2687612,1.6,8252563456,270310711296,1963044864,57162796032,6976822047744,8506558043548,1017781818976
1760284439.7717376,1.6,8360742912,270310711296,2065805312,57162796032,6976822047744,8506558043548,1017781818976
1760284440.311483,1.7,8450650112,270310711296,2170667008,57162796032,6976822047744,8506558044734,1017781820207
1760284440.8161254,1.6,8548532224,270310711296,2240823296,57162796032,6976822047744,8506558073252,1017781820921
1760284441.319077,1.7,8666615808,270310711296,2377977856,57162796032,6976822047744,8506558074439,1017781822469
1760284441.8221126,1.6,8784920576,270310711296,2510618624,57162796032,6976822047744,8506558074529,1017781822469
1760284442.3250747,1.8,8904171520,270310711296,2631204864,57162796032,6976822047744,8506558075513,1017781823766
1760284442.8282104,1.6,9048137728,270310711296,2731917312,57162796032,6976822047744,8506558075726,1017781823898
