timestamp_utc,bucket_12s,wavelength,filepath,filesize_bytes,hash_md5,exptime,naxis1,naxis2
2017-09-06T12:00:00.620,12_00_00,335,raw\aia.lev1.335A_2017_09_06T12_00_00.62Z.image_lev1.fits,7208640,750260d16995ec361c238fa7c0162156,2.901341,4096,4096
2017-09-06T12:00:07.530,12_00_00,193,raw\aia.lev1.193A_2017_09_06T12_00_07.53Z.image_lev1.fits,6998400,c9ed3690d9d2c65d7fe0bdc327775955,0.004909,4096,4096
2017-09-06T12:00:09.350,12_00_00,171,raw\aia.lev1.171A_2017_09_06T12_00_09.35Z.image_lev1.fits,11649600,4e56fc3ee648e0f2208f4ac4a6f45d65,2.000145,4096,4096
2017-09-06T12:00:10.080,12_00_00,131,raw\aia.lev1.131A_2017_09_06T12_00_10.08Z.image_lev1.fits,6917760,bbe620266a207bf9b275c1fb3846c920,0.019466,4096,4096
2017-09-06T12:00:12.620,12_00_12,335,raw\aia.lev1.335A_2017_09_06T12_00_12.62Z.image_lev1.fits,7205760,7ae2e09e8f9b72b29c67d4d068c00844,2.899768,4096,4096
2017-09-06T12:00:13.360,12_00_12,211,raw\aia.lev1.211A_2017_09_06T12_00_13.36Z.image_lev1.fits,7545600,e6e1ea639f138f34863cdd6f712d6aec,0.175924,4096,4096
2017-09-06T12:00:14.530,12_00_12,94,raw\aia.lev1.94A_2017_09_06T12_00_14.53Z.image_lev1.fits,6451200,0797d6a2ccc69a583cd161d59b868013,0.415761,4096,4096
2017-09-06T12:00:16.830,12_00_12,193,raw\aia.lev1.193A_2017_09_06T12_00_16.83Z.image_lev1.fits,11563200,68449491b577c63bfd8f48ac7620b229,2.000039,4096,4096
2017-09-06T12:00:18.620,12_00_12,131,raw\aia.lev1.131A_2017_09_06T12_00_18.62Z.image_lev1.fits,8694720,6ce4c98d05aa615ba67a35b58bd66b89,2.90137,4096,4096
2017-09-06T12:00:21.340,12_00_12,171,raw\aia.lev1.171A_2017_09_06T12_00_21.34Z.image_lev1.fits,11658240,8148a28a478deec6d6dad032927190b9,2.000159,4096,4096
2017-09-06T12:00:24.630,12_00_24,335,raw\aia.lev1.335A_2017_09_06T12_00_24.63Z.image_lev1.fits,7214400,aa52a878e2abb431e6f8964c2b0a5872,2.900798,4096,4096
2017-09-06T12:00:31.530,12_00_24,193,raw\aia.lev1.193A_2017_09_06T12_00_31.53Z.image_lev1.fits,6998400,96527f44cc20c8ead84809b69b863fff,0.004904,4096,4096
2017-09-06T12:00:33.350,12_00_24,171,raw\aia.lev1.171A_2017_09_06T12_00_33.35Z.image_lev1.fits,11687040,f7bd617ee61d39a594a92aced5957cde,2.000117,4096,4096
2017-09-06T12:00:33.930,12_00_24,131,raw\aia.lev1.131A_2017_09_06T12_00_33.93Z.image_lev1.fits,6926400,feca120a6c2ac3c41acfd5dc97e052e8,0.024352,4096,4096
2017-09-06T12:00:36.620,12_00_36,335,raw\aia.lev1.335A_2017_09_06T12_00_36.62Z.image_lev1.fits,7214400,44d7a3bb88333612443485860b46626b,2.89976,4096,4096
2017-09-06T12:00:37.300,12_00_36,211,raw\aia.lev1.211A_2017_09_06T12_00_37.30Z.image_lev1.fits,7640640,ede261b081c7cbd98e5f311b742d8961,0.208594,4096,4096
2017-09-06T12:00:38.420,12_00_36,94,raw\aia.lev1.94A_2017_09_06T12_00_38.42Z.image_lev1.fits,6482880,d6593ff96e64f842a789f599725b8785,0.497683,4096,4096
2017-09-06T12:00:40.840,12_00_36,193,raw\aia.lev1.193A_2017_09_06T12_00_40.84Z.image_lev1.fits,11594880,bc41752ad9fba45b7dace5af2a7c910a,2.000035,4096,4096
2017-09-06T12:00:42.620,12_00_36,131,raw\aia.lev1.131A_2017_09_06T12_00_42.62Z.image_lev1.fits,8726400,23cd1afe27c27639b4e1b83cca5e6f45,2.901366,4096,4096
2017-09-06T12:00:45.350,12_00_36,171,raw\aia.lev1.171A_2017_09_06T12_00_45.35Z.image_lev1.fits,11666880,79708580ea0225ba40a8b36dd5d4eb24,2.000157,4096,4096
2017-09-06T12:00:48.630,12_00_48,335,raw\aia.lev1.335A_2017_09_06T12_00_48.63Z.image_lev1.fits,7214400,2b3be141df3c3de97a1b3e432794e2ad,2.900802,4096,4096
2017-09-06T12:00:55.520,12_00_48,193,raw\aia.lev1.193A_2017_09_06T12_00_55.52Z.image_lev1.fits,6998400,06530a5315eb0de60a6dcec796ebdef2,0.004904,4096,4096
2017-09-06T12:00:57.350,12_00_48,171,raw\aia.lev1.171A_2017_09_06T12_00_57.35Z.image_lev1.fits,11661120,7f42d8f71e583181f5506c109870fe86,2.000109,4096,4096
2017-09-06T12:00:57.770,12_00_48,131,raw\aia.lev1.131A_2017_09_06T12_00_57.77Z.image_lev1.fits,6932160,e0d0805149387d78e341d4b1db9d4521,0.029181,4096,4096
2017-09-06T12:01:00.470,12_01_00,211,raw\aia.lev1.211A_2017_09_06T12_01_00.47Z.image_lev1.fits,7047360,81b813e9877af5d3d82ab7b1cfca9662,0.039116,4096,4096
2017-09-06T12:01:00.620,12_01_00,335,raw\aia.lev1.335A_2017_09_06T12_01_00.62Z.image_lev1.fits,7211520,745fce49e6b63416ec4b510b6d0edceb,2.900166,4096,4096
2017-09-06T12:01:02.960,12_01_00,94,raw\aia.lev1.94A_2017_09_06T12_01_02.96Z.image_lev1.fits,6356160,d89b213aed3fd73e97660d802858bbed,0.098809,4096,4096
2017-09-06T12:01:04.840,12_01_00,193,raw\aia.lev1.193A_2017_09_06T12_01_04.84Z.image_lev1.fits,11600640,858bd5592a736db6b8b8738b2e35b457,1.998587,4096,4096
2017-09-06T12:01:06.620,12_01_00,131,raw\aia.lev1.131A_2017_09_06T12_01_06.62Z.image_lev1.fits,8752320,01333d6004f7782055868a36edd9b3c1,2.900801,4096,4096
2017-09-06T12:01:09.350,12_01_00,171,raw\aia.lev1.171A_2017_09_06T12_01_09.35Z.image_lev1.fits,11672640,5bdd04cae5ea6abb89debf4247728afc,2.000159,4096,4096
2017-09-06T12:01:12.620,12_01_12,335,raw\aia.lev1.335A_2017_09_06T12_01_12.62Z.image_lev1.fits,7217280,3b12fbfd915d562c8160333bbd9059a0,2.901368,4096,4096
2017-09-06T12:01:19.400,12_01_12,193,raw\aia.lev1.193A_2017_09_06T12_01_19.40Z.image_lev1.fits,7096320,8e2930f1710922a6e84bb2b5ccae1618,0.009781,4096,4096
2017-09-06T12:01:21.360,12_01_12,171,raw\aia.lev1.171A_2017_09_06T12_01_21.36Z.image_lev1.fits,11681280,f7fe3930d528eb513bd441b51956621b,2.000112,4096,4096
2017-09-06T12:01:21.630,12_01_12,131,raw\aia.lev1.131A_2017_09_06T12_01_21.63Z.image_lev1.fits,6943680,3b5cd6d2597c1ff092f55b6b01e91ac3,0.034039,4096,4096
2017-09-06T12:01:24.620,12_01_24,335,raw\aia.lev1.335A_2017_09_06T12_01_24.62Z.image_lev1.fits,7214400,cd219cfc9226926df80d32af630814e6,2.900157,4096,4096
2017-09-06T12:01:25.510,12_01_24,211,raw\aia.lev1.211A_2017_09_06T12_01_25.51Z.image_lev1.fits,7185600,db8e3c90adfa5e860af034173e40a980,0.0693,4096,4096
2017-09-06T12:01:26.940,12_01_24,94,raw\aia.lev1.94A_2017_09_06T12_01_26.94Z.image_lev1.fits,6364800,ff82dd5c55b5296961d16377d8b07d70,0.120913,4096,4096
2017-09-06T12:01:28.840,12_01_24,193,raw\aia.lev1.193A_2017_09_06T12_01_28.84Z.image_lev1.fits,11626560,a8df6e55f7cd2ea26fcb8ff2137cc2ea,2.000034,4096,4096
2017-09-06T12:01:30.620,12_01_24,131,raw\aia.lev1.131A_2017_09_06T12_01_30.62Z.image_lev1.fits,8795520,1204ac59b9984b0a0c5c33b2445bd855,2.900797,4096,4096
2017-09-06T12:01:33.350,12_01_24,171,raw\aia.lev1.171A_2017_09_06T12_01_33.35Z.image_lev1.fits,11678400,d98713fcc003bc71f44618f61a5333b1,2.000158,4096,4096
2017-09-06T12:01:39.790,12_01_36,335,raw\aia.lev1.335A_2017_09_06T12_01_39.79Z.image_lev1.fits,6960960,de1d9dd73de475717a02b276f219e9a4,0.578905,4096,4096
2017-09-06T12:01:43.370,12_01_36,193,raw\aia.lev1.193A_2017_09_06T12_01_43.37Z.image_lev1.fits,7096320,210cf10fcb807e09b828de22774613c7,0.00978,4096,4096
2017-09-06T12:01:45.340,12_01_36,171,raw\aia.lev1.171A_2017_09_06T12_01_45.34Z.image_lev1.fits,11675520,e1432109f3a2958be7a3153435af34ea,2.000174,4096,4096
2017-09-06T12:01:46.500,12_01_36,131,raw\aia.lev1.131A_2017_09_06T12_01_46.50Z.image_lev1.fits,7001280,686971c0fa7df00389035d52d0ad5206,0.069736,4096,4096
2017-09-06T12:01:48.620,12_01_48,335,raw\aia.lev1.335A_2017_09_06T12_01_48.62Z.image_lev1.fits,7217280,634c8ca99953cfa6f24df390ac700f78,2.901357,4096,4096
2017-09-06T12:01:49.470,12_01_48,211,raw\aia.lev1.211A_2017_09_06T12_01_49.47Z.image_lev1.fits,7243200,81c8a10b615bbaedd35e42d83ba8a38d,0.083583,4096,4096
2017-09-06T12:01:50.900,12_01_48,94,raw\aia.lev1.94A_2017_09_06T12_01_50.90Z.image_lev1.fits,6376320,c1c4b53e12750e21e37bbab938bf4b47,0.145474,4096,4096
2017-09-06T12:01:52.840,12_01_48,193,raw\aia.lev1.193A_2017_09_06T12_01_52.84Z.image_lev1.fits,11640960,06c98f2adb5c88c64dd68d9d93a3250d,1.999644,4096,4096
2017-09-06T12:01:54.620,12_01_48,131,raw\aia.lev1.131A_2017_09_06T12_01_54.62Z.image_lev1.fits,8827200,1401c7c8b67139e98c101a803556b479,2.900798,4096,4096
